Name,Vocals,Accompaniment,Drums,Bass,Other
A Classic Education - NightOwl,108.28571428571429,1492.1785714285713,25.464285714285715,1152.0714285714287,319.2142857142857
ANiMAL - Clinic A,135.33333333333334,979.6666666666666,116.82051282051282,623.9487179487179,236.51282051282053
ANiMAL - Easy Tiger,192.85294117647058,679.9705882352941,243.6764705882353,272.44117647058823,171.85294117647058
ANiMAL - Rockshow,130.2962962962963,698.9629629629629,244.25925925925927,353.1111111111111,102.88888888888889
Actions - Devil's Words,565.84375,908.46875,300.78125,313.03125,294.375
Actions - One Minute Smile,402.51851851851853,740.9629629629629,218.7037037037037,92.29629629629629,428.44444444444446
Actions - South Of The Water,165.20689655172413,1038.7586206896551,125.13793103448276,632.448275862069,283.1034482758621
Aimee Norwich - Child,76.93548387096774,1405.1935483870968,301.3225806451613,923.2258064516129,179.61290322580646
Alexander Ross - Goodbye Bolero,111.95652173913044,417.231884057971,74.84057971014492,60.72463768115942,283.4782608695652
Alexander Ross - Velvet Curtain,64.71764705882353,216.10588235294117,78.32941176470588,49.76470588235294,88.81176470588235
Angela Thomas Wade - Milk Cow Blues,164.11428571428573,448.7142857142857,126.6,89.71428571428571,232.54285714285714
Atlantis Bound - It Was My Fault For Waiting,176.9318181818182,512.0227272727273,306.90909090909093,112.0909090909091,95.38636363636364
Auctioneer - Our Future Faces,273.05882352941177,934.8235294117648,103.61764705882354,523.5588235294117,312.1764705882353
AvaLuna - Waterduct,97.34883720930233,333.3953488372093,124.74418604651163,152.1627906976744,56.74418604651163
BigTroubles - Phantom,194.29166666666666,1900.9583333333333,220.79166666666666,1254.25,423.7083333333333
Bill Chudziak - Children Of No-one,171.31578947368422,604.4473684210526,221.60526315789474,107.55263157894737,276.42105263157896
Black Bloc - If You Want Success,84.39393939393939,693.7424242424242,401.1212121212121,126.43939393939394,163.65151515151516
Celestial Shore - Die For Us,221.45652173913044,809.2173913043479,13.608695652173912,404.19565217391306,389.9782608695652
Chris Durban - Celebrate,109.58,815.5,188.04,343.8,289.46
Clara Berry And Wooldog - Air Traffic,109.32142857142857,400.2857142857143,107.57142857142857,216.5,77.35714285714286
Clara Berry And Wooldog - Stella,142.34375,556.4375,55.53125,439.4375,53.9375
Clara Berry And Wooldog - Waltz For My Victims,62.37931034482759,420.0344827586207,29.896551724137932,81.62068965517241,306.2758620689655
